BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,OFFER,RETAILER,cleaned_offer,cleaned_retailer,cleaned_brand,cleaned_brand_category,cleaned_data
CVS,Cooking & Baking,45,Spend $30 at CVS,CVS,spend cv,cv,cv,cook bake,spend cv cv spend cv cook bake
CVS,Skin Care,44,Spend $10 at CVS,CVS,spend cv,cv,cv,skin care,spend cv cv spend cv skin care
CVS,Skin Care,44,Spend $30 at CVS,CVS,spend cv,cv,cv,skin care,spend cv cv spend cv skin care
M&MS,Candy,37241,"M&M'S®, select sizes, buy 1",Unknown,mm select size buy,unknown,mm,candi,mm select size buy unknown mm select size buy candi
M&MS,Candy,37241,"M&M'S® chocolate candies, select varieties",Unknown,mm chocol candi select varieti,unknown,mm,candi,mm chocol candi select varieti unknown mm chocol candi select varieti candi
MCALISTERS DELI,Prepared Meals,36533,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,prepar meal,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap prepar meal
MCALISTERS DELI,Leafy Salads,21413,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,leafi salad,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap leafi salad
MCALISTERS DELI,Tea,19776,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,tea,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap tea
MCALISTERS DELI,Wine,16286,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,wine,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap wine
MCALISTERS DELI,Fruit Juices,11220,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,fruit juic,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap fruit juic
MCALISTERS DELI,Cookies,8133,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,cooki,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap cooki
MCALISTERS DELI,Carbonated Soft Drinks,7387,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,carbon soft drink,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap carbon soft drink
MCALISTERS DELI,Cheese,6224,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,chees,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap chees
MCALISTERS DELI,Chips,5289,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,chip,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap chip
MCALISTERS DELI,Water,4804,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,water,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap water
MCALISTERS DELI,Milk,4223,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,milk,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap milk
MCALISTERS DELI,Bakery,2808,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,bakeri,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap bakeri
MCALISTERS DELI,Cooking & Baking,2320,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,cook bake,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap cook bake
MCALISTERS DELI,Packaged Meals & Sides,2145,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,packag meal side,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap packag meal side
MCALISTERS DELI,Pickled Goods,1987,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,pickl good,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap pickl good
MCALISTERS DELI,Soup & Broth,1668,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,soup broth,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap soup broth
MCALISTERS DELI,Frozen Chicken,1564,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,frozen chicken,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap frozen chicken
MCALISTERS DELI,Candy,1262,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,candi,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap candi
MCALISTERS DELI,Dressings,1059,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,dress,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap dress
MCALISTERS DELI,Coffee,762,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,coffe,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap coffe
MCALISTERS DELI,Packaged Fruit & Applesauce,464,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,packag fruit applesauc,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap packag fruit applesauc
MCALISTERS DELI,Fruit & Vegetable Snacks,361,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,fruit veget snack,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap fruit veget snack
MCALISTERS DELI,Frozen Meals,351,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,frozen meal,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap frozen meal
MCALISTERS DELI,Sauces & Marinades,247,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,sauc marinad,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap sauc marinad
MCALISTERS DELI,Dips & Salsa,60,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,dip salsa,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap dip salsa
MCALISTERS DELI,Bread,49,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,bread,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap bread
MCALISTERS DELI,Pasta & Noodles,44,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,pasta noodl,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap pasta noodl
MCALISTERS DELI,Frozen Turkey,24,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,sign mcalist deli reward tap,mcalist deli,mcalist deli,frozen turkey,sign mcalist deli reward tap mcalist deli sign mcalist deli reward tap frozen turkey
GATORADE,Sports Drinks,34829,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,gatorad fast twitch ounc pack amazon storefront,amazon,gatorad,sport drink,gatorad fast twitch ounc pack amazon storefront amazon gatorad fast twitch ounc pack amazon storefront sport drink
GATORADE,Sports Drinks,34829,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",Unknown,gatorlyt gatorad fit singl serv bottl select varieti buy,unknown,gatorad,sport drink,gatorlyt gatorad fit singl serv bottl select varieti buy unknown gatorlyt gatorad fit singl serv bottl select varieti buy sport drink
GATORADE,Sports Drinks,34829,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,gatorad fast twitch ounc singl serv buy kroger,fred meyer,gatorad,sport drink,gatorad fast twitch ounc singl serv buy kroger fred meyer gatorad fast twitch ounc singl serv buy kroger sport drink
GATORADE,Sports Drinks,34829,"GATORADE® Fast Twitch®, 12-ounce single serve",Unknown,gatorad fast twitch ounc singl serv,unknown,gatorad,sport drink,gatorad fast twitch ounc singl serv unknown gatorad fast twitch ounc singl serv sport drink
GATORADE,Sports Drinks,34829,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,gatorad fast twitch ounc singl serv kroger,dillon groceri,gatorad,sport drink,gatorad fast twitch ounc singl serv kroger dillon groceri gatorad fast twitch ounc singl serv kroger sport drink
GATORADE,Sports Drinks,34829,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",Unknown,gatorlyt gatorad fit singl serv bottl select varieti,unknown,gatorad,sport drink,gatorlyt gatorad fit singl serv bottl select varieti unknown gatorlyt gatorad fit singl serv bottl select varieti sport drink
GATORADE,Sports Drinks,34829,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,gatorad fast twitch ounc singl serv buy kroger,foodless,gatorad,sport drink,gatorad fast twitch ounc singl serv buy kroger foodless gatorad fast twitch ounc singl serv buy kroger sport drink
GATORADE,Medicines & Treatments,25275,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,gatorad fast twitch ounc pack amazon storefront,amazon,gatorad,medicin treatment,gatorad fast twitch ounc pack amazon storefront amazon gatorad fast twitch ounc pack amazon storefront medicin treatment
GATORADE,Medicines & Treatments,25275,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",Unknown,gatorlyt gatorad fit singl serv bottl select varieti buy,unknown,gatorad,medicin treatment,gatorlyt gatorad fit singl serv bottl select varieti buy unknown gatorlyt gatorad fit singl serv bottl select varieti buy medicin treatment
GATORADE,Medicines & Treatments,25275,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,gatorad fast twitch ounc singl serv buy kroger,fred meyer,gatorad,medicin treatment,gatorad fast twitch ounc singl serv buy kroger fred meyer gatorad fast twitch ounc singl serv buy kroger medicin treatment
GATORADE,Medicines & Treatments,25275,"GATORADE® Fast Twitch®, 12-ounce single serve",Unknown,gatorad fast twitch ounc singl serv,unknown,gatorad,medicin treatment,gatorad fast twitch ounc singl serv unknown gatorad fast twitch ounc singl serv medicin treatment
GATORADE,Medicines & Treatments,25275,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,gatorad fast twitch ounc singl serv kroger,dillon groceri,gatorad,medicin treatment,gatorad fast twitch ounc singl serv kroger dillon groceri gatorad fast twitch ounc singl serv kroger medicin treatment
GATORADE,Medicines & Treatments,25275,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",Unknown,gatorlyt gatorad fit singl serv bottl select varieti,unknown,gatorad,medicin treatment,gatorlyt gatorad fit singl serv bottl select varieti unknown gatorlyt gatorad fit singl serv bottl select varieti medicin treatment
GATORADE,Medicines & Treatments,25275,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,gatorad fast twitch ounc singl serv buy kroger,foodless,gatorad,medicin treatment,gatorad fast twitch ounc singl serv buy kroger foodless gatorad fast twitch ounc singl serv buy kroger medicin treatment
GATORADE,Meal Replacement Beverages,289,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,gatorad fast twitch ounc pack amazon storefront,amazon,gatorad,meal replac beverag,gatorad fast twitch ounc pack amazon storefront amazon gatorad fast twitch ounc pack amazon storefront meal replac beverag
GATORADE,Meal Replacement Beverages,289,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",Unknown,gatorlyt gatorad fit singl serv bottl select varieti buy,unknown,gatorad,meal replac beverag,gatorlyt gatorad fit singl serv bottl select varieti buy unknown gatorlyt gatorad fit singl serv bottl select varieti buy meal replac beverag
GATORADE,Meal Replacement Beverages,289,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,gatorad fast twitch ounc singl serv buy kroger,fred meyer,gatorad,meal replac beverag,gatorad fast twitch ounc singl serv buy kroger fred meyer gatorad fast twitch ounc singl serv buy kroger meal replac beverag
GATORADE,Meal Replacement Beverages,289,"GATORADE® Fast Twitch®, 12-ounce single serve",Unknown,gatorad fast twitch ounc singl serv,unknown,gatorad,meal replac beverag,gatorad fast twitch ounc singl serv unknown gatorad fast twitch ounc singl serv meal replac beverag
GATORADE,Meal Replacement Beverages,289,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,gatorad fast twitch ounc singl serv kroger,dillon groceri,gatorad,meal replac beverag,gatorad fast twitch ounc singl serv kroger dillon groceri gatorad fast twitch ounc singl serv kroger meal replac beverag
GATORADE,Meal Replacement Beverages,289,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",Unknown,gatorlyt gatorad fit singl serv bottl select varieti,unknown,gatorad,meal replac beverag,gatorlyt gatorad fit singl serv bottl select varieti unknown gatorlyt gatorad fit singl serv bottl select varieti meal replac beverag
GATORADE,Meal Replacement Beverages,289,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,gatorad fast twitch ounc singl serv buy kroger,foodless,gatorad,meal replac beverag,gatorad fast twitch ounc singl serv buy kroger foodless gatorad fast twitch ounc singl serv buy kroger meal replac beverag
COORS LIGHT,Beer,31672,"Molson Coors®, select varieties, 12 pack+",Unknown,molson coor select varieti pack,unknown,coor light,beer,molson coor select varieti pack unknown molson coor select varieti pack beer
COORS LIGHT,Makeup,4379,"Molson Coors®, select varieties, 12 pack+",Unknown,molson coor select varieti pack,unknown,coor light,makeup,molson coor select varieti pack unknown molson coor select varieti pack makeup
GOYA,Cooking & Baking,28252,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,cook bake,goya coconut water unknown goya coconut water cook bake
GOYA,Cooking & Baking,28252,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,cook bake,goya adobo season ounc unknown goya adobo season ounc cook bake
GOYA,Packaged Vegetables,4204,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,packag veget,goya coconut water unknown goya coconut water packag veget
GOYA,Packaged Vegetables,4204,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,packag veget,goya adobo season ounc unknown goya adobo season ounc packag veget
GOYA,Rice & Grains,3469,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,rice grain,goya coconut water unknown goya coconut water rice grain
GOYA,Rice & Grains,3469,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,rice grain,goya adobo season ounc unknown goya adobo season ounc rice grain
GOYA,Sauces & Marinades,1056,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,sauc marinad,goya coconut water unknown goya coconut water sauc marinad
GOYA,Sauces & Marinades,1056,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,sauc marinad,goya adobo season ounc unknown goya adobo season ounc sauc marinad
GOYA,Water,850,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,water,goya coconut water unknown goya coconut water water
GOYA,Water,850,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,water,goya adobo season ounc unknown goya adobo season ounc water
GOYA,Packaged Meat,785,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,packag meat,goya coconut water unknown goya coconut water packag meat
GOYA,Packaged Meat,785,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,packag meat,goya adobo season ounc unknown goya adobo season ounc packag meat
GOYA,Frozen Vegetables,512,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,frozen veget,goya coconut water unknown goya coconut water frozen veget
GOYA,Frozen Vegetables,512,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,frozen veget,goya adobo season ounc unknown goya adobo season ounc frozen veget
GOYA,Cookies,471,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,cooki,goya coconut water unknown goya coconut water cooki
GOYA,Cookies,471,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,cooki,goya adobo season ounc unknown goya adobo season ounc cooki
GOYA,Dry Pasta,450,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,dri pasta,goya coconut water unknown goya coconut water dri pasta
GOYA,Dry Pasta,450,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,dri pasta,goya adobo season ounc unknown goya adobo season ounc dri pasta
GOYA,Bread,258,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,bread,goya coconut water unknown goya coconut water bread
GOYA,Bread,258,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,bread,goya adobo season ounc unknown goya adobo season ounc bread
GOYA,Frozen Fruits,256,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,frozen fruit,goya coconut water unknown goya coconut water frozen fruit
GOYA,Frozen Fruits,256,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,frozen fruit,goya adobo season ounc unknown goya adobo season ounc frozen fruit
GOYA,Drink Mixes,252,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,drink mix,goya coconut water unknown goya coconut water drink mix
GOYA,Drink Mixes,252,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,drink mix,goya adobo season ounc unknown goya adobo season ounc drink mix
GOYA,Soup & Broth,186,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,soup broth,goya coconut water unknown goya coconut water soup broth
GOYA,Soup & Broth,186,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,soup broth,goya adobo season ounc unknown goya adobo season ounc soup broth
GOYA,Fruit Juices,171,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,fruit juic,goya coconut water unknown goya coconut water fruit juic
GOYA,Fruit Juices,171,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,fruit juic,goya adobo season ounc unknown goya adobo season ounc fruit juic
GOYA,Frozen Meals,138,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,frozen meal,goya coconut water unknown goya coconut water frozen meal
GOYA,Frozen Meals,138,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,frozen meal,goya adobo season ounc unknown goya adobo season ounc frozen meal
GOYA,Frozen Appetizers,90,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,frozen appet,goya coconut water unknown goya coconut water frozen appet
GOYA,Frozen Appetizers,90,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,frozen appet,goya adobo season ounc unknown goya adobo season ounc frozen appet
GOYA,Pickled Goods,83,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,pickl good,goya coconut water unknown goya coconut water pickl good
GOYA,Pickled Goods,83,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,pickl good,goya adobo season ounc unknown goya adobo season ounc pickl good
GOYA,Malt Beverages,68,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,malt beverag,goya coconut water unknown goya coconut water malt beverag
GOYA,Malt Beverages,68,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,malt beverag,goya adobo season ounc unknown goya adobo season ounc malt beverag
GOYA,Dips & Salsa,61,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,dip salsa,goya coconut water unknown goya coconut water dip salsa
GOYA,Dips & Salsa,61,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,dip salsa,goya adobo season ounc unknown goya adobo season ounc dip salsa
GOYA,Deli Counter,59,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,deli counter,goya coconut water unknown goya coconut water deli counter
GOYA,Deli Counter,59,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,deli counter,goya adobo season ounc unknown goya adobo season ounc deli counter
GOYA,Milk,46,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,milk,goya coconut water unknown goya coconut water milk
GOYA,Milk,46,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,milk,goya adobo season ounc unknown goya adobo season ounc milk
GOYA,Pasta & Noodles,40,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,pasta noodl,goya coconut water unknown goya coconut water pasta noodl
GOYA,Pasta & Noodles,40,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,pasta noodl,goya adobo season ounc unknown goya adobo season ounc pasta noodl
GOYA,Frozen Chicken,33,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,frozen chicken,goya coconut water unknown goya coconut water frozen chicken
GOYA,Frozen Chicken,33,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,frozen chicken,goya adobo season ounc unknown goya adobo season ounc frozen chicken
GOYA,Pudding & Gelatin,32,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,pud gelatin,goya coconut water unknown goya coconut water pud gelatin
GOYA,Pudding & Gelatin,32,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,pud gelatin,goya adobo season ounc unknown goya adobo season ounc pud gelatin
GOYA,Carbonated Soft Drinks,28,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,carbon soft drink,goya coconut water unknown goya coconut water carbon soft drink
GOYA,Carbonated Soft Drinks,28,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,carbon soft drink,goya adobo season ounc unknown goya adobo season ounc carbon soft drink
GOYA,Frozen Seafood,21,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,frozen seafood,goya coconut water unknown goya coconut water frozen seafood
GOYA,Frozen Seafood,21,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,frozen seafood,goya adobo season ounc unknown goya adobo season ounc frozen seafood
GOYA,Nut Butters & Jam,17,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,nut butter jam,goya coconut water unknown goya coconut water nut butter jam
GOYA,Nut Butters & Jam,17,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,nut butter jam,goya adobo season ounc unknown goya adobo season ounc nut butter jam
GOYA,Packaged Seafood,17,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,packag seafood,goya coconut water unknown goya coconut water packag seafood
GOYA,Packaged Seafood,17,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,packag seafood,goya adobo season ounc unknown goya adobo season ounc packag seafood
GOYA,Crackers,12,GOYA® Coconut Water,Unknown,goya coconut water,unknown,goya,cracker,goya coconut water unknown goya coconut water cracker
GOYA,Crackers,12,"GOYA® Adobo Seasoning, 8 ounce+",Unknown,goya adobo season ounc,unknown,goya,cracker,goya adobo season ounc unknown goya adobo season ounc cracker
THOMAS,Bread,26490,"Thomas'® Bagel Thins®, buy 2",Unknown,thoma bagel thin buy,unknown,thoma,bread,thoma bagel thin buy unknown thoma bagel thin buy bread
THOMAS,Bread,26490,"Thomas'®, select varieties, spend $10",Unknown,thoma select varieti spend,unknown,thoma,bread,thoma select varieti spend unknown thoma select varieti spend bread
THOMAS,Bread,26490,Thomas'® Bagel Thins,Unknown,thoma bagel thin,unknown,thoma,bread,thoma bagel thin unknown thoma bagel thin bread
THOMAS,Frozen Breakfast,258,"Thomas'® Bagel Thins®, buy 2",Unknown,thoma bagel thin buy,unknown,thoma,frozen breakfast,thoma bagel thin buy unknown thoma bagel thin buy frozen breakfast
THOMAS,Frozen Breakfast,258,"Thomas'®, select varieties, spend $10",Unknown,thoma select varieti spend,unknown,thoma,frozen breakfast,thoma select varieti spend unknown thoma select varieti spend frozen breakfast
THOMAS,Frozen Breakfast,258,Thomas'® Bagel Thins,Unknown,thoma bagel thin,unknown,thoma,frozen breakfast,thoma bagel thin unknown thoma bagel thin frozen breakfast
THOMAS,Bakery,24,"Thomas'® Bagel Thins®, buy 2",Unknown,thoma bagel thin buy,unknown,thoma,bakeri,thoma bagel thin buy unknown thoma bagel thin buy bakeri
THOMAS,Bakery,24,"Thomas'®, select varieties, spend $10",Unknown,thoma select varieti spend,unknown,thoma,bakeri,thoma select varieti spend unknown thoma select varieti spend bakeri
